id,label,book_id,book_title,book_type,page,num_images,image_labels,image_iiif
d0b94043-3a44-44e1-9f20-ce1fad8b5715/pp-456-457-insertion-a-verso,Montaigne. Essais. pp. 456-457 Insertion A,https://derridas-margins.princeton.edu/titles/81/,Essais,Book,pp. 456-457,2,verso;recto,"https://derridas-margins.princeton.edu/library/montaigne-essais-1580/gallery/images/pp-456-457-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/montaigne-essais-1580/gallery/images/pp-456-457-insertion-a-recto/iiif/full/500,/0/default.jpg"
d5b6c0fb-cb10-473f-8063-bffe3f9c6a4e/pp-126-127-insertion-a-recto,Edmund Husserl. Idées directrices pour une phénoménologie et une philosophie phénoménologique pures. Introduction générale à la phénoménologie pure. pp. 126-127 Insertion A,https://derridas-margins.princeton.edu/titles/112/,Idées I,Book,pp. 126-127,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-126-127-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-126-127-insertion-a-verso/iiif/full/500,/0/default.jpg"
bdcf0162-d0cf-4bb6-9a08-a207117250b3/pp-198-199-insertion-a-verso,"Introduction à la métaphysique,. pp. 198-199 Insertion A",https://derridas-margins.princeton.edu/titles/115/,Introduction à la métaphysique,Book,pp. 198-199,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-einfuhrung-in-die-metaphysic-1958/gallery/images/pp-198-199-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-einfuhrung-in-die-metaphysic-1958/gallery/images/pp-198-199-insertion-a-recto/iiif/full/500,/0/default.jpg"
d5b6c0fb-cb10-473f-8063-bffe3f9c6a4e/pp-510-511-insertion-a-recto,Edmund Husserl. Idées directrices pour une phénoménologie et une philosophie phénoménologique pures. Introduction générale à la phénoménologie pure. pp. 510-511 Insertion A,https://derridas-margins.princeton.edu/titles/112/,Idées I,Book,pp. 510-511,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-510-511-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-510-511-insertion-a-verso/iiif/full/500,/0/default.jpg"
80d16b0c-9520-48d9-91b0-dabfc5aa8f65/pp-inside-front-cover-title-page-recto-insertion-a-verso,"Philosophical writings of Peirce,. pp. Inside Front Cover-Title Page recto Insertion A",https://derridas-margins.princeton.edu/titles/217/,The Philosophical Writings of Peirce,Book,pp. Inside Front Cover-Title Page recto,2,verso;recto,"https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-a-recto/iiif/full/500,/0/default.jpg"
80d16b0c-9520-48d9-91b0-dabfc5aa8f65/pp-inside-front-cover-title-page-recto-insertion-b-verso,"Philosophical writings of Peirce,. pp. Inside Front Cover-Title Page recto Insertion B",https://derridas-margins.princeton.edu/titles/217/,The Philosophical Writings of Peirce,Book,pp. Inside Front Cover-Title Page recto,2,verso;recto,"https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-b-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-b-recto/iiif/full/500,/0/default.jpg"
7aae2eeb-ad83-487d-ad6f-d844729ba35d/pp-282-283-insertion-a-recto,Tristes tropiques. pp. 282-283 Insertion A,https://derridas-margins.princeton.edu/titles/134/,Tristes Tropiques,Book,pp. 282-283,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/pp-282-283-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-tristes-tropiques-1955/gallery/images/pp-282-283-insertion-a-verso/iiif/full/500,/0/default.jpg"
d5b6c0fb-cb10-473f-8063-bffe3f9c6a4e/pp-370-371-insertion-a-recto,Edmund Husserl. Idées directrices pour une phénoménologie et une philosophie phénoménologique pures. Introduction générale à la phénoménologie pure. pp. 370-371 Insertion A,https://derridas-margins.princeton.edu/titles/112/,Idées I,Book,pp. 370-371,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-370-371-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-370-371-insertion-a-verso/iiif/full/500,/0/default.jpg"
350a6f37-633d-4950-a994-2d2afa81e723/pp-152-153-insertion-a-recto,"Marcel Mauss. Sociologie et anthropologie, précédé d'une Introduction à l'oeuvre de Marcel Mauss par Claude Lévi-Strauss. pp. 152-153 Insertion A",https://derridas-margins.princeton.edu/titles/225/,Sociologie et anthropologie,Book,pp. 152-153,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/pp-152-153-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/pp-152-153-insertion-a-verso/iiif/full/500,/0/default.jpg"
19ebc010-cef0-49ea-84ca-d76a3dbbd917/pp-200-201-insertion-a-verso,Emmanuel Levinas. Difficile liberté : essais sur le judaïsme. pp. 200-201 Insertion A,https://derridas-margins.princeton.edu/titles/102/,Difficile liberté,Book,pp. 200-201,2,verso;recto,"https://derridas-margins.princeton.edu/library/levinas-difficile-liberte-essais-sur-le-judaisme-1963/gallery/images/pp-200-201-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levinas-difficile-liberte-essais-sur-le-judaisme-1963/gallery/images/pp-200-201-insertion-a-recto/iiif/full/500,/0/default.jpg"
